company_name,date,calculated_score,average_severity,number_of_evidence,holistic_analysis
AAPL,2021-10-29,65,3.611111111111111,18,"Apple’s 2021 Form 10-K portrays COVID-19 as a still-unfolding, multi-dimensional threat that has already hurt the company and could materially worsen results.  The filing combines backward-looking evidence (store closures, supply shortages that affected worldwide sales in 2021, mandatory remote work) with forward-looking language (future supply-chain shocks, demand erosion, cost structure pressure, new virus variants).  The disclosures are specific – they name component shortages, manufacturing and logistics interruptions, retail shutdowns, labour displacement and even higher digital-content production costs – yet they stop short of assigning dollar figures.  Because the pandemic began in March 2020 and the filing date is October 2021, the event is well inside the 0-3-year “recent” window of the Time Decay Principle, allowing high severity scores.  Overall, the risk is direct and ongoing: actual adverse impacts have already materialised and management concedes that many key drivers remain outside its control.  Mitigation notes (store re-openings, continuous monitoring) modestly temper, but do not eliminate, the high risk profile.  Therefore, individual sentence scores cluster in the mid-to-upper range (≈2-8) depending on the depth, specificity and presence of mitigating language."
AAPL,2022-10-28,85,4.473684210526316,19,"Apple’s 2022 Form 10-K positions COVID-19 as an active, multi-faceted threat that has already impaired the company’s performance and may continue to do so.  The disclosure shifts seamlessly from describing realised impacts (supply shortages that hurt worldwide sales, higher digital-content costs, prior adverse effects on stock price) to outlining forward-looking exposures across demand, supply-chain resilience, labour, retail operations and profitability.  The language is direct and company-specific—using phrases such as “materially adversely affected” and citing concrete operational disruptions—rather than vague boiler-plate.  Mitigating statements are sparse and largely limited to the company’s ongoing monitoring efforts, which do little to offset the gravity of the risks.  Because the filing date (28 Oct 2022) falls less than three years after the WHO’s pandemic declaration, the Time Decay Principle allows high severity scores (up to 10).  Overall, the evidentiary set signals a high, persistent risk profile with tangible historic damage and substantial uncertainty going forward."
AAPL,2023-11-03,10,5.0,2,"Apple’s 2023 Form 10-K continues to link the COVID-19 pandemic to both realized and prospective enterprise-wide risks.  The company explicitly states that the pandemic has already “adversely affected” operations and goes on to catalogue concrete channels of exposure—global demand shocks, supply-chain breakdowns, labor and freight constraints, and delays in product ramps.  These disclosures confirm that COVID-19 is not treated merely as a hypothetical but as a proven disruptor whose effects still linger across manufacturing, logistics and consumer demand.  However, the language remains largely qualitative and unquantified, suggesting Apple views the pandemic as a material but now better-understood, more diffuse risk than in 2020-2021.  Applying the Time Decay Principle, the event sits just beyond the three-year “recent” window (≈3.6 years at filing date), so evidentiary scores should fall in the mid-range (4-6).  Overall, the filing portrays COVID-19 as an ongoing, potentially material threat—especially to supply continuity and product launches—but no longer at the crisis peak that would warrant top-tier severity scores."
AAPL,2024-11-01,7,3.5,2,"Apple’s 2024 Form 10-K still treats COVID-19 as a live, material risk rather than merely a historical event.  Although the initial outbreak began more than four years before the filing date, the disclosure makes clear that pandemic-related disruptions (supply chain bottlenecks, freight restrictions, employee travel curbs, depressed consumer demand and delays in new-product ramps) have already harmed the Company and could do so again.  This wording reflects both realised impacts (“have adversely affected”) and forward-looking threats (“could in the future materially adversely affect”), providing more than a boiler-plate reference.  Because the event is now in the 4-to-5-year window, the Time Decay Principle caps any single-sentence score in the moderate range (4-6).  No substantial mitigating language (e.g., alternative sourcing, remote-work efficiencies, pandemic playbooks) accompanies the statements, so the risk remains largely untempered.  Overall, the evidence supports a moderate-to-high residual risk assessment tied to COVID-19, consistent with Apple’s continued dependence on a globally concentrated supply chain and consumer sentiment that can shift quickly during public-health crises."
ABBV,2021-02-19,28,3.111111111111111,9,"The filing was submitted less than a year after the World Health Organization declared COVID-19 a pandemic, so time-decay does not diminish the evidentiary weight.  AbbVie’s disclosure mixes backward-looking facts ( lower new-patient starts, remote-work shift ) with forward-looking cautionary language ( possible material adverse impact, supply-chain uncertainty ).  The company explicitly references multiple enterprise functions—manufacturing, supply chain, sales & marketing, clinical trials—and acknowledges that, although the near-term effect has not been material, the outbreak ""could continue to negatively impact results"" and ""could have a material adverse impact"" overall.  The risk language is specific to AbbVie, cites concrete operational changes already taken, and identifies an observable earnings head-wind (lower patient starts), yet offers mitigating statements (impact “not been material,” proactive supply-chain management).  Balancing these aggravating and mitigating factors for a very recent event leads to generally moderate-to-high snippet scores (3-7 range)."
ABBV,2022-02-18,32,2.909090909090909,11,"ABBV’s 2022 Form 10-K repeatedly ties the ongoing COVID-19 pandemic to operational, financial and strategic risk.  The filing describes both realised and prospective effects: actual adjustments (remote-work shift, enhanced supply-chain monitoring) and measurable impacts (lower new-patient starts) show the threat is not hypothetical, while language about possible future adverse effects, uncertain duration, and dependence on external variables (variants, government measures) signals a forward-looking risk profile.  Although management stresses that the aggregate financial hit has ‘not been material’ so far and details mitigation steps, the disclosure nonetheless concedes that continued or re-implemented lockdowns, supply-chain strain and demand changes could still harm results of operations.  Given the filing date (Feb-2022) is less than two years after the WHO pandemic declaration, the Time Decay Principle allows relatively elevated scores.  Overall, the pandemic constitutes a moderate-to-high contemporary risk—significant enough to warrant specific board-level attention, but partially tempered by the company’s current resilience and mitigation efforts."
ABBV,2023-02-17,42,3.230769230769231,13,"AbbVie’s 2023 Form 10-K frames COVID-19 as an active, multifaceted source of operational and financial risk.  The company discloses that the pandemic has already forced concrete operational changes (e.g., modified business practices and lower new-patient starts) while simultaneously warning that future impacts remain highly uncertain and could extend across manufacturing, supply-chain stability, clinical trials, sales and overall financial condition.  Language is largely qualitative—AbbVie emphasizes uncertainty rather than quantified dollar impacts—but it still contains several aggravating signals: acknowledgement of past adverse effects, expectation of continuing pressure on results, and explicit reference to dependence on external variables such as government restrictions, new variants and supply-chain resilience.  Mitigating language (e.g., “impact … to date was not material” and descriptions of active supply-chain management) tempers but does not eliminate risk.  Under the Time Decay Principle, COVID-19 is a recent, ongoing event (less than three years old at filing), so evidence can be scored in the upper range.  Overall, the risk profile is assessed as moderate-to-high: the company concedes real operational hits and sees potential for further deterioration, yet it has not reported material financial damage so far and is actively mitigating certain exposures."
ABBV,2024-02-20,14,2.8,5,"COVID-19 first struck in early 2020, just four years prior to this 2024 filing, placing it solidly in the ‘medium-term’ window of the Time-Decay framework.  AbbVie’s disclosure cluster is concise but confirms that (1) the pandemic already forced concrete operational changes and (2) residual uncertainty persists around potential renewed lockdowns, supply-chain constraints and shifts in market behaviour (e-commerce, counterfeit risk).  The language is largely qualitative and un-quantified—there are no dollar figures, margin impacts, or specific capacity metrics—but it does acknowledge both historical impacts (“have had”) and forward-looking exposure (“could in the future have”).  On balance, the statements are more than boiler-plate yet fall short of a detailed, quantified assessment; therefore, risk severity is moderate.  Applying the Time-Decay Principle for a four-year-old event, individual snippet scores should cluster in the 1-6 range, with higher scores reserved for lines evidencing direct operational impact or strategic action, and lower scores for generic contextual remarks."
ABNB,2021-02-26,54,6.0,9,"The filing is less than a year after the WHO’s March 11 2020 pandemic declaration, so COVID-19 is treated as a current, highly-salient threat.  ABNB repeatedly discloses that the pandemic has already produced material, quantified harm (declines in bookings, workforce reductions, lease impairments, extraordinary refund costs) and that the adverse effects will persist through 2021 and ""beyond.""  The company also details operational knock-ons—government lockdowns, depressed cross-border demand, remote-work frictions, privacy and fraud exposures—and admits it cannot predict the ultimate cumulative impact.  These statements are specific, forward-looking, and tied to financial metrics; there are few mitigating references beyond generic cost-cutting.  Given the timing (recent event), the breadth of impacts (revenue, costs, workforce, IT risk) and explicit language of materiality, individual snippets merit high risk scores (7-9) with moderate scores (4-6) for ancillary but still relevant operational exposures.  Time Decay does not reduce the assessments because the pandemic is ongoing and within three years of the filing date."
ABNB,2022-02-25,54,5.4,10,"Airbnb’s 2022 Form 10-K frames COVID-19 as the single most significant near-term and continuing threat to its business model.  The filing—dated barely two years after the WHO declared the pandemic—provides plentiful, company-specific evidence of both realised damage and looming uncertainty, so time-decay does not meaningfully dilute severity.  Management discloses tangible financial hits (lease impairments, elevated refund outflows, host–earnings losses) and operational shifts (global remote-work, workforce reduction) already recorded in past results.  It also warns that new governmental travel curbs, shifting consumer behaviour and ongoing guest cancellations could keep depressing revenue, EBITDA, cash flow and even magnify other risk factors.  The language is explicit (“materially adversely impacted”, “continue to materially adversely impact”), recent, and directly ties the pandemic to core metrics—indicating a high, persistent risk profile.  Although some mitigants exist (e.g., business model adaptability), they do not outweigh the breadth of negative impacts identified.  Accordingly, individual snippets score in the upper mid-range (5-7) when they document concrete or quantified harm, and slightly lower (3-5) where the disclosure is broader or more speculative.  All scores sit within the 0-3-year window, so no time-decay reductions are applied."
